"dataset_id","originalScientificName","n_interpreted","interpreted","aphiaids","url"
"767dd122-4903-4f3d-bb8b-9797e313a698","Palaemon elegans",2,"Palaemon adspersus;Palaemon elegans","107613;107614","http://217.11.23.22/ipt/resource?r=benthosofiranianpartsofthecaspiansea"
"767dd122-4903-4f3d-bb8b-9797e313a698","Tubificoides fraseri",2,"Oligochaeta;Tubificoides fraseri","2036;414050","http://217.11.23.22/ipt/resource?r=benthosofiranianpartsofthecaspiansea"
"e98b16d9-f8d3-4625-ba58-e19368dc6bb0","Cystoseira C.Agardh, 1820",2,"Cystoseira;Polycladia indica","144126;624314","http://217.11.23.22/ipt/resource?r=makran-chabahar-benthos"
"26fb9cdc-1f1a-453a-b074-ad7f395d1122","Ceriops tagal",2,"Ceriops;Ceriops tagal","235086;235088","http://ipt.iobis.org/afrobis/resource?r=kenya_eez_1975-2013"
"8d23af49-296a-4777-8e31-8b2c2dedad26","Red Turf",2,"Plantae;Rhodophyta","3;852","http://ipt.iobis.org/afrobis/resource?r=namdeb_benthos"
"8d23af49-296a-4777-8e31-8b2c2dedad26","Red crust",2,"Plantae;Rhodophyta","3;852","http://ipt.iobis.org/afrobis/resource?r=namdeb_benthos"
"8d23af49-296a-4777-8e31-8b2c2dedad26","Scyrosiphon",2,"Scytosiphon;Sirosiphon","144259;602084","http://ipt.iobis.org/afrobis/resource?r=namdeb_benthos"
"208fd29c-f159-425c-9bf4-dbcaa7b6d74c","Chthamalus dentatus",2,"Choromytilus meridionalis;Chthamalus dentatus","220218;224609","http://ipt.iobis.org/afrobis/resource?r=namibia_branch_2002"
"23678adb-b175-4352-856d-d43322374cb1","Naudedrillia",2,"Naudedrillia;Naudedrillia mitromorpha","390783;434459","http://ipt.iobis.org/afrobis/resource?r=natal_museum_mollusc"
"b19eed73-2149-4a94-8a93-28ba7d759086","Echinaster",2,"Acanthaster;Echinaster","123275;205212","http://ipt.iobis.org/caribbeanobis/resource?r=biodiversitysouthcaribbean"
"b19eed73-2149-4a94-8a93-28ba7d759086","Glycera",2,"Glycera;Pisione","129296;129469","http://ipt.iobis.org/caribbeanobis/resource?r=biodiversitysouthcaribbean"
"b19eed73-2149-4a94-8a93-28ba7d759086","Hypnea spinella",2,"Hypnea cervicornis;Hypnea spinella","145635;220819","http://ipt.iobis.org/caribbeanobis/resource?r=biodiversitysouthcaribbean"
"b19eed73-2149-4a94-8a93-28ba7d759086","Lucifer",3,"Decapoda;Lucifer;Photonectes","1130;106827;126217","http://ipt.iobis.org/caribbeanobis/resource?r=biodiversitysouthcaribbean"
"b19eed73-2149-4a94-8a93-28ba7d759086","Polydora socialis",2,"Dipolydora socialis;Eunice vittata","130067;131124","http://ipt.iobis.org/caribbeanobis/resource?r=biodiversitysouthcaribbean"
"136d1588-128c-4e5f-a0a8-bac1094703fc","Holothuria",2,"Eostichopus;Holothuria","123456;123457","http://ipt.iobis.org/caribbeanobis/resource?r=coleccionequinodermosdeyucatan"
"c380d2c9-98b3-48cf-af6c-56a88b81f1a4","Pocillopora cespitosa",2,"Pocillopora acuta;Pocillopora damicornis","206953;759099","http://ipt.iobis.org/caribbeanobis/resource?r=hexacoralliansoftheworld"
"c380d2c9-98b3-48cf-af6c-56a88b81f1a4","Pseudactinia flagellifera",2,"Pseudactinia flagellifera;Pseudactinia infecunda","411025;413971","http://ipt.iobis.org/caribbeanobis/resource?r=hexacoralliansoftheworld"
"52364f4e-c5cf-4e23-b467-e1fc665096e9","Gaza",2,"Antillophos candeanus;Gaza","391640;419959","http://ipt.iobis.org/caribbeanobis/resource?r=inverte_museo_usb"
"0c59dc30-4b06-4572-addc-155042f81fd0","Actinopterygii",2,"Actinopterygii;Osteichthyes","10194;152352","http://ipt.iobis.org/caribbeanobis/resource?r=nagisa"
"0c59dc30-4b06-4572-addc-155042f81fd0","Irus irus",2,"Irus irus;Irus macrophylla","141917;714808","http://ipt.iobis.org/caribbeanobis/resource?r=nagisa"
